"Coluna A","Coluna B","Coluna C"
373,417,816
351,607,252
277,733,429
629,724,533
926,927,731
219,122,478
306,307,997
814,981,818
294,712,414
632,407,457
820,655,288
967,920,829
599,162,545
635,197,806
345,382,381
769,846,479
409,863,967
838,278,190
522,113,991
942,796,602
703,828,619
169,742,343
499,745,640
453,329,323
669,550,699
567,436,943
256,436,469
973,898,598
850,468,724
609,930,347
964,204,820
354,343,535
209,715,294
198,460,481
927,650,629
890,249,266
370,467,332
886,941,134
445,759,609
606,402,439
827,792,229
107,147,669
985,748,354
206,155,412
452,690,945
682,750,487
701,773,547
484,596,613
678,377,188
193,566,556
865,585,905
175,438,687
166,196,455
148,435,994
215,508,841
760,627,788
934,215,196
566,614,333
571,610,394
644,974,398
429,370,790
436,825,928
158,836,639
436,579,738
647,401,331
510,542,867
935,296,652
632,233,741
973,529,331
383,644,301
943,592,728
116,483,473
544,640,695
115,997,764
691,325,385
321,682,467
759,641,256
847,793,322
473,267,384
761,829,121
867,856,731
146,393,493
419,165,903
598,514,164
437,520,246
191,944,663
148,609,626
968,309,669
867,266,696
205,950,722
218,284,651
673,119,478
668,862,681
760,517,848
979,779,757
132,411,980
909,578,116
668,840,224
326,284,468
735,159,208
136,432,702
